,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6326,37.9820693,23.7203064,1.0,1.0,2.0,1.7,365.0,4.94,4.96,4.99,4.94,4.93,4.44,4.88,6.67
6327,37.9820693,23.7203064,1.0,1.0,2.0,1.7,365.0,4.91,4.9,4.96,4.96,4.96,4.45,4.87,2.82
6328,37.9672129,23.7352172,1.0,1.0,2.0,2.0,1125.0,4.56,4.65,4.69,4.79,4.93,4.79,4.72,3.59
6329,37.96594,23.70567,4.5,4.0,4.0,1.5,1125.0,4.91,4.98,4.86,4.94,4.92,4.8,4.94,2.33
6330,37.9820693,23.7203064,1.0,1.0,2.0,1.7,365.0,4.95,4.97,4.95,4.92,4.9,4.36,4.92,1.74
6331,37.9820693,23.7203064,1.0,1.0,2.0,1.7,365.0,5.0,5.0,5.0,5.0,5.0,4.4,4.8,0.17
6332,37.97995,23.72423,1.0,1.0,3.0,1.0,365.0,3.8,4.5,4.2,4.0,3.4,4.7,4.3,0.35
6333,37.9826397,23.7325957,1.0,1.0,1.0,2.0,365.0,4.92,4.83,4.92,4.83,4.83,4.67,4.33,0.43
6334,37.9820693,23.7203064,1.0,1.0,2.0,1.7,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6335,37.9764695,23.7167755,0.0,2.0,0.0,1.0,1125.0,4.0,4.0,3.5,4.0,5.0,5.0,3.0,0.07
6336,37.9826397,23.7325957,1.0,1.0,1.0,2.0,365.0,4.91,4.91,4.91,4.86,4.91,4.86,4.89,1.25
6337,37.9826397,23.7325957,1.0,1.0,1.0,2.0,365.0,4.9,4.9,4.9,4.8,5.0,4.8,4.7,0.36
6338,37.97889,23.72467,1.0,1.0,1.0,1.0,1125.0,4.41,4.66,4.52,4.8,4.87,4.78,4.43,4.05
6339,37.9991779,23.7715042,1.0,2.0,2.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11
6340,37.964685,23.7297329,1.5,1.0,1.0,2.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6341,37.9981,23.72824,1.0,1.0,1.0,2.0,1125.0,4.85,4.89,4.89,4.94,4.96,4.25,4.74,1.87
6342,37.98012894306723,23.725849931839548,1.0,1.0,1.0,1.0,700.0,4.83,4.88,4.86,4.9,4.96,4.86,4.8,2.8
6343,37.98029,23.72573,1.0,1.0,2.0,1.0,365.0,4.64,4.79,4.81,4.63,4.43,4.71,4.71,2.79
6344,37.9826397,23.7325957,1.0,1.0,1.0,2.0,365.0,4.83,4.83,4.88,4.71,4.96,4.63,4.83,0.87
